district,taluka,village
"AHILYANAGAR","SANGAMNER","Sonewadi"
"AHILYANAGAR","SANGAMNER","Wadzari Kh."
"AHILYANAGAR","SANGAMNER","Karhe"
"AHILYANAGAR","SANGAMNER","Arampur"
"AHILYANAGAR","KARJAT","Nimgaon Gangarda"
"AHILYANAGAR","KARJAT","Ghumari"
"AHILYANAGAR","KARJAT","Mandali"
"AHILYANAGAR","KARJAT","Thergaon"
"AHILYANAGAR","KARJAT","Belgaon"
"AHILYANAGAR","KARJAT","Nagamthan"
"AHILYANAGAR","KARJAT","Chincholi Ramjan"
"AHILYANAGAR","KARJAT","Tikhi"
"AHILYANAGAR","KARJAT","Kokangaon"
"AHILYANAGAR","KARJAT","Ravalgaon"
"AHILYANAGAR","KARJAT","Khandavi"
"AHILYANAGAR","KARJAT","Mirajgaon"
"AHILYANAGAR","KARJAT","Kombhali"
"AHILYANAGAR","KARJAT","Ratanjan"
"AHILYANAGAR","KARJAT","Nagalwadi"
"AHILYANAGAR","KARJAT","Gurav pimpri"
"AHILYANAGAR","KARJAT","Kaudane"
"AHILYANAGAR","PATHARDI","Prabhupimpri"
"AHILYANAGAR","PATHARDI","Kasar Pimpalgaon"
"AHILYANAGAR","PATHARDI","Dhawalewadi"
"AHILYANAGAR","PATHARDI","Pagori Pimpalgaon"
"AHILYANAGAR","PATHARDI","Auranjpur"
"AHILYANAGAR","PATHARDI","Koradgaon"
"AHILYANAGAR","PATHARDI","Dulechandgaon"
"AHILYANAGAR","PATHARDI","Shekate"
"AHILYANAGAR","PATHARDI","Dongarwadi"
"AHILYANAGAR","PATHARDI","Khandgaon"
"AHILYANAGAR","PATHARDI","Lohasar"
"AHILYANAGAR","PATHARDI","Yeli"
"AHILYANAGAR","PATHARDI","Gitewadi"
"AHILYANAGAR","PATHARDI","Bharajwadi"
"AHILYANAGAR","PATHARDI","Pimpalgavhan"
"AHILYANAGAR","PATHARDI","Kaudgaon"
"AHILYANAGAR","PATHARDI","Badewadi"
"AHILYANAGAR","PATHARDI","Akola"
"AHILYANAGAR","PATHARDI","Dhamangaon"
"AHILYANAGAR","PATHARDI","Nimbodi"
"AHILYANAGAR","PATHARDI","Walunj"
"AHILYANAGAR","PATHARDI","Bondarwadi"
"AHILYANAGAR","PATHARDI","Tribhuwanwadi"
"AHILYANAGAR","PATHARDI","Shirapur"
"AHILYANAGAR","PATHARDI","Malewadi"
"AHILYANAGAR","PATHARDI","Bhose"
"AHILYANAGAR","PATHARDI","Mohoj Diodhe"
"AHILYANAGAR","PATHARDI","Devrai"
"AHILYANAGAR","PATHARDI","Madhi"
"AHILYANAGAR","PATHARDI","Midsangavi"
"AHILYANAGAR","PATHARDI","Ghaitadakwadi"
"AHILYANAGAR","PATHARDI","Vaiju Babhulgaon"
"AHILYANAGAR","PATHARDI","Karegaon"
"AHILYANAGAR","PATHARDI","Palavewadi"
"AHILYANAGAR","PATHARDI","Karanji"
"AHILYANAGAR","PATHARDI","Bhawarwadi (NV)"
"AHILYANAGAR","PATHARDI","Damalwadi"
"AHILYANAGAR","PATHARDI","Kasalwadi"
"AHILYANAGAR","PATHARDI","Chekewadi"
"AHILYANAGAR","PATHARDI","Tinkhadi"
"AHILYANAGAR","PATHARDI","Chinchpur ijade"
"AHILYANAGAR","PATHARDI","Chumbhali"
"AHILYANAGAR","PATHARDI","Kuttarwadi"
"AHILYANAGAR","PATHARDI","Ambika Nagar"
"AHILYANAGAR","PATHARDI","Ghumatwadi"
"AHILYANAGAR","PATHARDI","Pirewadi"
"AHILYANAGAR","PATHARDI","Pimpalgaon Tappa"
"AHILYANAGAR","PATHARDI","Landakwadi"
"AHILYANAGAR","PATHARDI","Borsewadi"
"AHILYANAGAR","PATHARDI","Chitalwadi"
"AHILYANAGAR","PATHARDI","Shindewadi"
"AHILYANAGAR","JAMKHED","Deodaithan"
"AHILYANAGAR","JAMKHED","Savargaon"
"AHILYANAGAR","JAMKHED","Dhamangaon"
"AHILYANAGAR","JAMKHED","Malewadi"
"AHILYANAGAR","JAMKHED","Dongaon"
